constant,translate
Главная страница,
Посадочый экран,
buttonMain,Open the game
footerTitle,Download Casino
footerText,"Play Min anywhere, anytime"
footerButton,"Install App"
footerAgeText,"Only 18+"
footerSertificateText,"Casino is certified by the Anjouan Gaming Authority"
footerMediaText,"Us on social media:"
